Food_Name,VitaminC_mg,Potassium_mg,Carbohydrate_g,Calcium_mg,Zinc_mg,VitaminB6_mg,Protein_g,Cholesterol_mg,Energy_kcal,Riboflavin_mg,Thiamin_mg,Iron_mg,Folate_mcg,VitaminE_mg,Niacin_mg,VitaminD_mcg,VitaminB12_mcg,Fat_g,VitaminK_mcg,Magnesium_mg,Fiber_g,Sodium_mg,VitaminA_mcgRAE,Sugars_g,Food_Category,nutriscore_grade,diet_type,meal_type
Protein Smoothie,0.0,0.0,-0.00446779671799355,0.0,0.0,0.0,-0.00426152920626515,-0.02103951919208925,-0.004536510483087151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041208678660634,0.0,0.0,-0.0257046934196217,-0.0039554862053208,0.0,-0.07214182790310769,0,c,vegan,"lunch,dinner"
Protein Smoothie Berry Blend,0.0,0.0,-0.0038363303113426,0.0,0.0,0.0,-0.0030035288014088,-0.0335274774927566,-0.0035674197796252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003765723056581,0.0,0.0,0.1216727548403507,-0.0039545517470923,0.0,0.0393876022906208,0,a,vegan,"lunch,dinner"
Protein Smoothie Berry Blend Chewy Bars,0.0,0.0,-0.0038363303113426,0.0,0.0,0.0,-0.0030035288014088,-0.0335274774927566,-0.0035674197796252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003765723056581,0.0,0.0,0.1216727548403507,-0.0039545517470923,0.0,0.0393876022906208,0,a,vegan,"lunch,dinner"
Protein Snack Bars Reduced Fat Cheddar Cheese,0.0,0.0,-0.0045353332320739,0.0,0.0,0.0,-0.0024959146029579,0.0874509883192546,-0.0039831991432669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039201662825534,0.0,0.0,-0.0414669873511698,-0.0039537112567304,0.0,-0.0857429779267332,0,a,vegetarian,"lunch,dinner"
Protein Soy Unsweetened,0.0,0.0,-0.0045073731152446,0.0,0.0,0.0,-0.0043314475445561,-0.0335274774927566,-0.0045317141075277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041001441218865,0.0,0.0,-0.0310260438509125,-0.003955528637033,0.0,-0.0832403663223861,0,b,vegan,"lunch,dinner"
Protein Spaghetti,0.0,0.0,-0.0033495247058334,0.0,0.0,0.0,-0.0034023685287629998,-0.0335274774927566,-0.0038524509157066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041003500461878,0.0,0.0,0.0905985182324422,-0.003955332202428367,0.0,-0.0745706046930408,0,c,vegan,"lunch,dinner"
Protein Stuffed Tortelloni Pasta,0.0,0.0,-0.0041159314796351,0.0,0.0,0.0,-0.0036492140618382,0.1087431983021686,-0.0041187589056014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040107729751238,0.0,0.0,-0.0205851003506552,-0.0039538342084633,0.0,-0.080737754718039,0,a,vegan,"lunch,dinner"
Protein Taco Kasserolle,0.0,0.0,-0.0043090097254225,0.0,0.0,0.0,-0.0038518635545271,-0.0335274774927566,-0.0042657148110093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040364381746269,0.0,0.0,-0.008998199636955,-0.0039549998133828,0.0,-0.0648370151343216,0,a,vegan,"lunch,dinner"
Protein Tortillas,0.0,0.0,-0.0040141468438093,0.0,0.0,0.0,-0.0031371114852116,-0.0335274774927566,-0.0040712821597285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040249347867218,0.0,0.0,0.0959138481785319,-0.0039542168148428,0.0,-0.0563004884638263,0,a,vegan,"lunch,dinner"
Protein Ultra Thin Pizza Crust,0.0,0.0,-0.004190824649713451,0.0,0.0,0.0,-0.0021246310749482,-0.0335274774927566,-0.00403340646265005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040787279945517,0.0,0.0,-0.0128786896718938,-0.0039538018238551,0.0,-0.07322991990499775,0,a,vegan,"lunch,dinner"
